biome	sample	h	DateTime	Station	LatN	LonE	Feature	DepthFrom	DepthTo	SizeFrx	Run	Depth	Date	RadiansDate	Vernality	Wintriness	Location	hc	ssu.cnt	ssu.cov
_tara	ERR599111	6.33835808019001	2010-01-20T11:50	TARA_034	18.4417	39.8567	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	58	62	0.22-1.6 um	ERR599111	60	2010-01-20	0.349065850398866	0.342020143325669	0.939692620785908	Red Sea	6.50451768297617	90217	0.59035310408493
_tara	ERR599112	6.35598613712269	2010-06-26T07:12:30	TARA_056	-15.3379	43.2948	mesopelagic zone (ENVO:00000213)	990	1008	0.22-3 um	ERR599112	999	2010-06-26	3.07177948351002	-0.0697564737441251	0.997564050259824	Indian Ocean	6.51530714474542	110968	0.604817309655032
_tara	ERR599113	5.94364283130409	2011-04-15T19:38	TARA_100	-12.9723	-96.0122	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	48	52	0.22-3 um	ERR599113	50	2011-04-15	1.83259571459405	-0.965925826289068	0.258819045102521	South Pacific Ocean	6.16134934820298	21102	0.573601303639326
_tara	ERR599114	5.64992648766029	2011-08-08T17:33	TARA_125	-8.9111	-142.5571	surface water layer (ENVO:00002042)	3	7	0.22-3 um	ERR599114	5	2011-08-08	3.80481776934764	0.615661475325658	0.788010753606722	South Pacific Ocean	5.8113440392349	33046	0.594076655052265
_tara	ERR599115	6.13263071430447	2011-10-19T19:27:16	TARA_133	35.2698	-127.7268	mesopelagic zone (ENVO:00000213)	646	655	0.22-3 um	ERR599115	650.5	2011-10-19	5.04400153826361	-0.945518575599317	0.325568154457156	North Pacific Ocean	6.29672445955439	118400	0.584370536625179
_tara	ERR599116	5.19392887454143	2010-01-11T07:21	TARA_032	23.36	37.2183	surface water layer (ENVO:00002042)	3	7	0.22-1.6 um	ERR599116	5	2010-01-11	0.191986217719376	0.190808995376545	0.981627183447664	Red Sea	5.31752883654724	67564	0.6214463840399
_tara	ERR599117	6.05590566911454	2011-08-01T17:52:45	TARA_123	-8.9109	-140.2845	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	150	150	0.22-3 um	ERR599117	150	2011-08-01	3.68264472170804	0.515038074910054	0.857167300702112	South Pacific Ocean	6.27166840115279	26596	0.566046300499319
_tara	ERR599118	5.72663804115469	2011-05-12T14:00	TARA_109	1.9928	-84.5766	surface water layer (ENVO:00002042)	3	7	0.22-3 um	ERR599118	5	2011-05-12	2.30383461263252	0.743144825477394	-0.669130606358858	North Pacific Ocean	5.82363096844677	110055	0.630740037950664
_tara	ERR599119	5.66244177157169	2011-08-08T17:33	TARA_125	-8.9111	-142.5571	surface water layer (ENVO:00002042)	3	7	0.22-3 um	ERR599119	5	2011-08-08	3.80481776934764	0.615661475325658	0.788010753606722	South Pacific Ocean	5.82872661380205	33692	0.583892617449664
_tara	ERR599120	5.40533274408846	2011-04-03T13:44	TARA_098	-25.8051	-111.7202	surface water layer (ENVO:00002042)	3	7	0.22-3 um	ERR599120	5	2011-04-03	1.62315620435473	-0.998629534754574	0.0523359562429434	South Pacific Ocean	5.57073292573968	33230	0.571869216533004
_tara	ERR599121	4.83848588647464	2011-01-06T19:34:21	TARA_085	-62.2231	-49.2139	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	80	98	0.22-3 um	ERR599121	89	2011-01-06	0.10471975511966	-0.104528463267653	-0.994521895368273	Southern Ocean	4.92474298979649	113552	0.614080164439877
_tara	ERR599122	5.35610720427634	2010-12-06T18:58	TARA_082	-47.2007	-57.9446	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	38	42	0.22-3 um	ERR599122	40	2010-12-06	5.86430628670095	0.4067366430758	-0.913545457642601	South Atlantic Ocean	5.44292054844171	134495	0.667445482866044
_tara	ERR599123	5.985652084395	2012-02-24T11:40	TARA_148	31.6948	-64.2489	surface water layer (ENVO:00002042)	3	7	0.22-3 um	ERR599123	5	2012-02-24	0.942477796076938	0.809016994374947	0.587785252292473	North Atlantic Ocean	6.09271239208175	116175	0.625428482393269
_tara	ERR599124	6.22422298876986	2010-11-05T12:33:27	TARA_078	-30.1471	-43.2915	mesopelagic zone (ENVO:00000213)	800	800	0.22-3 um	ERR599124	800	2010-11-05	5.32325421858271	0.819152044288992	-0.573576436351046	South Atlantic Ocean	6.52662258194231	17236	0.501472444257467
_tara	ERR599125	6.05834229392962	2011-01-07T10:39:47	TARA_085	-61.9689	-49.5017	mesopelagic zone (ENVO:00000213)	782	800	0.22-3 um	ERR599125	791	2011-01-07	0.122173047639603	-0.121869343405147	-0.992546151641322	Southern Ocean	6.31586445474164	19301	0.528165623495426
_tara	ERR599126	5.77053104487154	2010-10-16T09:55	TARA_076	-20.9354	-35.1803	surface water layer (ENVO:00002042)	3	7	0.22-3 um	ERR599126	5	2010-10-16	4.99164166070378	0.961261695938319	-0.275637355816999	South Atlantic Ocean	5.87541869981006	76063	0.731073943661972
_tara	ERR599127	5.96778639004244	2011-12-03T14:31:20	TARA_137	14.2025	-116.6433	mesopelagic zone (ENVO:00000213)	370	379	0.22-3 um	ERR599127	374.5	2011-12-03	5.81194640914112	-0.453990499739547	0.891006524188368	North Pacific Ocean	6.21675830881624	26946	0.526183493925429
_tara	ERR599128	5.82702625954716	2011-04-22T12:08:28	TARA_102	-5.261	-85.1678	mesopelagic zone (ENVO:00000213) and marine oxygen minimum zone (ENVO:01000065)	480	480	0.22-3 um	ERR599128	480	2011-04-22	1.95476876223365	-0.927183854566787	0.374606593415912	South Pacific Ocean	6.03806769175195	33914	0.563793103448276
_tara	ERR599129	5.7599263363643	2010-09-14T06:55	TARA_068	-31.0266	4.665	surface water layer (ENVO:00002042)	3	7	0.22-3 um	ERR599129	5	2010-09-14	4.4331363000656	0.961261695938319	0.275637355816999	Indian Ocean	5.95509819626963	20940	0.589399744572158
_tara	ERR599130	5.63210437074091	2010-04-04T09:50	TARA_042	5.9998	73.9067	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	78	82	0.22-1.6 um	ERR599130	80	2010-04-04	1.64060949687467	0.997564050259824	-0.0697564737441253	Indian Ocean	5.75691243643342	80409	0.615021627998427
_tara	ERR599131	6.04437957788856	2010-09-13T13:02:33	TARA_068	-31.0198	4.6685	mesopelagic zone (ENVO:00000213)	696	705	0.22-3 um	ERR599131	700.5	2010-09-13	4.41568300754565	0.956304755963035	0.292371704722737	Indian Ocean	6.27824169306923	18052	0.543324250681199
_tara	ERR599132	5.87334870815744	2011-04-22T12:08:28	TARA_102	-5.261	-85.1678	mesopelagic zone (ENVO:00000213) and marine oxygen minimum zone (ENVO:01000065)	480	480	0.22-3 um	ERR599132	480	2011-04-22	1.95476876223365	-0.927183854566787	0.374606593415912	South Pacific Ocean	6.03772550380228	77913	0.568714752151974
_tara	ERR599133	6.04753460075351	2010-10-05T15:35	TARA_072	-8.7296	-17.9604	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	98	102	0.22-3 um	ERR599133	100	2010-10-05	4.79965544298441	0.996194698091746	-0.0871557427476579	Indian Ocean	6.19669827373252	80876	0.604699583581202
_tara	ERR599134	5.4645141811264	2010-01-13T07:16	TARA_033	21.9467	38.2517	surface water layer (ENVO:00002042)	3	7	0.22-1.6 um	ERR599134	5	2010-01-13	0.226892802759263	0.224951054343865	0.974370064785235	Red Sea	5.6287027239698	32467	0.605745721271394
_tara	ERR599135	5.91684678271307	2010-09-21T06:55	TARA_070	-20.4091	-3.1759	surface water layer (ENVO:00002042)	3	7	0.22-3 um	ERR599135	5	2010-09-21	4.5553093477052	0.987688340595138	0.156434465040231	Indian Ocean	6.12545147134225	15765	0.58993288590604
_tara	ERR599136	5.82002590978778	2012-01-09T13:41	TARA_142	25.5264	-88.394	surface water layer (ENVO:00002042)	3	7	0.22-3 um	ERR599136	5	2012-01-09	0.15707963267949	0.156434465040231	0.987688340595138	North Atlantic Ocean	5.94173643525121	108423	0.586249612883246
_tara	ERR599137	6.05169488774531	2010-10-05T15:35	TARA_072	-8.7296	-17.9604	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	98	102	0.22-3 um	ERR599137	100	2010-10-05	4.79965544298441	0.996194698091746	-0.0871557427476579	Indian Ocean	6.24995654403554	35368	0.578411405295316
_tara	ERR599138	5.11704241717258	2010-04-19T07:56	TARA_048	-9.3921	66.4228	surface water layer (ENVO:00002042)	3	7	0.22-1.6 um	ERR599138	5	2010-04-19	1.90240888467382	-0.945518575599317	0.325568154457156	Indian Ocean	5.21077767866306	124869	0.611319184352892
_tara	ERR599139	5.22834474905218	2010-05-17T04:10	TARA_052	-16.957	53.9801	surface water layer (ENVO:00002042)	3	7	0.22-1.6 um	ERR599139	5	2010-05-17	2.39110107523223	-0.681998360062498	0.73135370161917	Indian Ocean	5.32540789180253	123760	0.620838229533882
_tara	ERR599140	5.66640227466115	2009-11-02T08:13	TARA_018	35.759	14.2574	surface water layer (ENVO:00002042)	3	7	0.22-1.6 um	ERR599140	5	2009-11-02	5.27089434102288	-0.848048096156426	0.529919264233205	Mediterranean Sea	5.8755880608669	18621	0.597979797979798
_tara	ERR599141	5.45967146313956	2010-04-04T02:47	TARA_042	6.0001	73.8955	surface water layer (ENVO:00002042)	3	7	0.22-1.6 um	ERR599141	5	2010-04-04	1.64060949687467	0.997564050259824	-0.0697564737441253	Indian Ocean	5.66970719872484	21457	0.563119629874422
_tara	ERR599142	5.37987264749071	2011-10-04T17:46	TARA_132	31.5213	-158.9958	surface water layer (ENVO:00002042)	3	7	0.22-3 um	ERR599142	5	2011-10-04	4.78220215046446	-0.997564050259824	0.0697564737441252	North Pacific Ocean	5.48181601097654	120057	0.598210957882967
_tara	ERR599143	5.44449965727456	2010-03-12T06:06	TARA_036	20.8183	63.5047	surface water layer (ENVO:00002042)	3	7	0.22-1.6 um	ERR599143	5	2010-03-12	1.25663706143592	0.951056516295154	0.309016994374947	Indian Ocean	5.57654258099048	45745	0.619075482738443
